Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Toyota,USED,Automatic,Other,Diesel,Commercial, 4 , 5 ,4 , 2 ,Silver ,2013,191173.0,30900.0,7.68,100.0
Subaru,USED,Manual,Other,Unleaded,SUV, 4 , 5 ,4 , 2 ,Black ,2007,146077.0,34888.0,7.68,100.0
Audi,USED,Automatic,AWD,Diesel,SUV, 4 , 7 ,8 , 4.1 ,Black ,2014,199941.0,28999.0,9.2,100.0
Suzuki,USED,Automatic,Front,Unleaded,Hatchback, 5 , 4 ,3 , 1 ,Blue ,2015,23316.0,13880.0,4.8,100.0
Subaru,USED,Automatic,AWD,Premium,Sedan, 4 , 5 ,6 , 3.6 ,White ,2016,226127.0,17950.0,9.9,100.0
Toyota,USED,Manual,Front,Premium,SUV, 4 , 5 ,4 , 1.2 ,Yellow ,2019,58185.0,33888.0,5.4,100.0
Subaru,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Silver ,2021,16136.0,39990.0,7.4,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2 ,White ,2015,31531.0,23950.0,6.7,100.0
Jeep,USED,Automatic,4WD,Diesel,SUV, 4 , 5 ,6 , 3 ,White ,2018,76472.0,41950.0,7.5,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,Silver ,2018,62719.0,21999.0,7.4,100.0
Nissan,USED,Automatic,Front,Unleaded,SUV, 4 , 5 ,4 , 2.5 ,Grey ,2020,52035.0,27990.0,7.9,100.0
Honda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 1.5 ,Black ,2010,146445.0,8950.0,6.6,100.0
Honda,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,4 , 1.5 ,Grey ,2020,35214.0,37880.0,7.3,100.0
Holden,USED,Manual,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.6 ,Red ,2014,163000.0,7950.0,7.4,100.0
Jeep,USED,Automatic,Rear,Premium,SUV, 4 , 5 ,6 , 3.6 ,Grey ,2013,69001.0,24990.0,10.1,100.0
